Date,Price,Open,High,Low,Volume,Chg%
"Sep 15, 2015","25,980","26,068","26,088","25,940",12.27K,-0.35%
"Sep 14, 2015","26,070","26,123","26,125","25,963",10.08K,0.40%
"Sep 11, 2015","25,967","26,179","26,200","25,900",13.42K,-0.75%
"Sep 10, 2015","26,163","26,143","26,289","26,042",15.26K,0.41%
"Sep 09, 2015","26,057","26,449","26,472","25,984",12.33K,-1.39%
"Sep 08, 2015","26,424","26,499","26,518","26,386",9.45K,-0.29%
"Sep 07, 2015","26,500","26,580","26,607","26,462",6.44K,-0.12%
"Sep 04, 2015","26,532","26,422","26,683","26,402",17.66K,0.52%
"Sep 03, 2015","26,394","26,622","26,636","26,326",15.24K,-0.88%
"Sep 02, 2015","26,629","26,800","26,843","26,609",17.69K,-0.76%
"Sep 01, 2015","26,833","26,770","27,017","26,753",17.35K,0.57%
"Aug 31, 2015","26,682","26,673","26,750","26,523",11.10K,0.22%
"Aug 28, 2015","26,623","26,490","26,750","26,381",15.63K,1.31%
"Aug 27, 2015","26,278","26,400","26,449","26,169",15.14K,-0.73%
"Aug 26, 2015","26,471","26,712","26,825","26,225",27.73K,-1.01%
"Aug 25, 2015","26,740","27,300","27,345","26,662",23.95K,-2.58%
"Aug 24, 2015","27,448","27,300","27,833","27,213",25.87K,0.77%
"Aug 21, 2015","27,239","27,145","27,330","26,851",27.82K,1.45%
"Aug 20, 2015","26,849","26,200","26,874","26,200",22.96K,2.49%
"Aug 19, 2015","26,196","25,977","26,239","25,919",19.27K,0.72%
"Aug 18, 2015","26,008","26,059","26,075","25,855",17.87K,-0.09%
"Aug 17, 2015","26,032","25,880","26,087","25,880",11.13K,1.02%
"Aug 14, 2015","25,768","25,825","25,938","25,740",14.19K,-0.49%
"Aug 13, 2015","25,895","25,882","25,995","25,835",14.19K,-0.46%
"Aug 12, 2015","26,014","25,600","26,034","25,580",21.33K,2.31%
"Aug 11, 2015","25,426","25,150","25,529","25,105",19.98K,1.21%
"Aug 10, 2015","25,122","24,885","25,199","24,876",16.85K,0.91%
"Aug 07, 2015","24,895","24,767","24,985","24,710",20.13K,0.43%
"Aug 06, 2015","24,788","24,675","24,849","24,656",11.57K,0.78%
"Aug 05, 2015","24,597","24,535","24,706","24,500",0.09K,-0.32%
"Aug 04, 2015","24,675","24,610","24,701","24,570",0.13K,-0.35%
"Aug 03, 2015","24,761","24,818","24,820","24,710",1.20K,-0.21%
"Jul 31, 2015","24,813","24,668","24,892","24,535",14.77K,0.38%
"Jul 30, 2015","24,718","24,737","24,835","24,565",16.48K,-0.01%
"Jul 29, 2015","24,720","24,778","24,835","24,691",15.37K,-0.13%
"Jul 28, 2015","24,752","24,799","24,869","24,701",16.61K,-0.59%
"Jul 27, 2015","24,899","24,830","25,018","24,756",22.82K,0.68%
"Jul 24, 2015","24,731","24,559","24,821","24,451",22.51K,-0.01%
"Jul 23, 2015","24,734","24,780","24,910","24,702",18.90K,0.23%
"Jul 22, 2015","24,677","24,811","24,811","24,572",19.77K,-0.88%
"Jul 21, 2015","24,897","24,961","25,030","24,865",15.99K,-0.55%
"Jul 20, 2015","25,034","25,475","25,475","24,904",19.82K,-1.82%
"Jul 17, 2015","25,498","25,733","25,756","25,461",13.16K,-1.06%
"Jul 16, 2015","25,771","25,810","25,810","25,710",10.64K,-0.29%
"Jul 15, 2015","25,847","25,953","25,970","25,764",11.65K,-0.31%
"Jul 14, 2015","25,927","26,025","26,034","25,908",10.57K,-0.37%
"Jul 13, 2015","26,024","26,115","26,115","25,937",10.87K,-0.13%
"Jul 10, 2015","26,058","26,088","26,158","26,017",9.23K,-0.02%
"Jul 09, 2015","26,064","26,202","26,242","26,040",12.52K,-0.57%
"Jul 08, 2015","26,213","26,008","26,248","25,871",16.25K,0.70%
"Jul 07, 2015","26,032","26,276","26,285","25,883",16.87K,-1.12%
"Jul 06, 2015","26,328","26,369","26,375","26,187",9.86K,-0.09%
"Jul 03, 2015","26,352","26,244","26,387","26,217",8.06K,0.60%
"Jul 02, 2015","26,195","26,380","26,380","26,130",13.72K,-0.82%
"Jul 01, 2015","26,411","26,531","26,531","26,391",9.97K,-0.23%
"Jun 30, 2015","26,471","26,625","26,635","26,390",15.50K,-0.75%
"Jun 29, 2015","26,671","26,590","26,868","26,590",13.74K,0.55%
"Jun 26, 2015","26,524","26,538","26,589","26,412",12.08K,0.15%
"Jun 25, 2015","26,485","26,570","26,614","26,460",9.46K,-0.18%
"Jun 24, 2015","26,533","26,619","26,670","26,480",11.54K,-0.24%
"Jun 23, 2015","26,597","26,770","26,800","26,583",12.62K,-0.39%
"Jun 22, 2015","26,702","27,039","27,039","26,681",11.82K,-1.40%
"Jun 19, 2015","27,081","27,138","27,187","27,025",8.33K,-0.28%
"Jun 18, 2015","27,156","26,939","27,245","26,909",14.30K,1.03%
"Jun 17, 2015","26,880","26,919","26,920","26,803",8.59K,-0.28%
"Jun 16, 2015","26,956","27,011","27,069","26,869",9.84K,-0.27%
"Jun 15, 2015","27,029","26,935","27,092","26,738",12.98K,0.50%
"Jun 12, 2015","26,894","26,904","26,975","26,840",8.58K,0.01%
